"Priority","AdvisoryScore","Hostname","BusinessUnit","Owner","Service","OS","RiskState","ReadinessScore","MissingPatches","LastPatchedDaysAgo","RebootPending","UnsupportedOS","RecommendedPatchGroup","SuggestedOperatorAction","AdvisoryFactors","Source"
"P1 - Review First","100","BAYOU-FILE-115","Retail","Retail","API","Windows Server 2022","Critical","36","12","179","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 179d; Pending reboot; 12 missing patches; Low readiness 36; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-NOC-003","Security","Security","DC","Windows Server 2022","Critical","36","19","173","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 173d; Pending reboot; 19 missing patches; Low readiness 36; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-SQL-051","Operations","Operations","WEB","Windows Server 2022","Critical","43","12","167","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 167d; Pending reboot; 12 missing patches; Low readiness 43; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-APP-043","Operations","Operations","API","Windows Server 2022","Critical","66","27","149","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 149d; Pending reboot; 27 missing patches; Low readiness 66; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-DC-041","Security","Security","API","Windows Server 2022","Critical","36","17","137","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 137d; Pending reboot; 17 missing patches; Low readiness 36; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-API-096","Finance","Finance","FILE","Windows Server 2022","Critical","69","13","131","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 131d; Pending reboot; 13 missing patches; Low readiness 69; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-APP-081","Operations","Operations","WEB","Windows Server 2022","Critical","60","19","127","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 127d; Pending reboot; 19 missing patches; Low readiness 60; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-API-014","Retail","Retail","FILE","Windows Server 2022","Critical","51","17","119","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 119d; Pending reboot; 17 missing patches; Low readiness 51; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-EDGE-082","Infrastructure","Infrastructure","DC","Windows Server 2022","Critical","59","15","114","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 114d; Pending reboot; 15 missing patches; Low readiness 59; Risk state Critical","bayouops-demo-1780279545689.json"
"P1 - Review First","100","BAYOU-API-113","HR","HR","EDGE","Windows Server 2022","Critical","41","13","103","true","false","Reboot + Stale Patch Review","Review with owner and schedule approved maintenance window.","Stale patch age 103d; Pending reboot; 13 missing patches; Low readiness 41; Risk state Critical","bayouops-demo-1780279545689.json"
